commit	val_bpb	memory_gb	status	description
3d9c86d	1.062251	50.0	discard	x0_lambdas 0.2→0.3 — 12-layer model needs less input skip
6dda129	1.065410	50.1	discard	HEAD_DIM 128→64 (6 heads) — more heads worse, per-head capacity matters
5bdb2ce	1.063899	59.3	discard	MLP 4x→6x expansion — 53.5M params, 428 steps, throughput loss dominates
5d66125	1.042115	49.8	keep	batch 2^19→2^18 (262K), 972 steps, -0.015 ← BEST
307a729	1.046743	25.1	discard	batch 2^18→2^17 (131K), 1908 steps — too noisy
9a207c6	1.041611	49.8	keep	Muon LR 0.08→0.06 — retune for batch=262K, -0.001
fe3beff	1.037839	49.8	keep	Muon LR 0.06→0.04 — further improvement at batch=262K, -0.004 ← BEST
b8cae45	1.038565	49.8	discard	Muon LR 0.04→0.03 — slight regression, 0.04 is optimal
af702d7	1.044158	49.8	discard	xIELU activation — 889 steps (slower), worse than ReluSquared
1b56f2f	1.038150	49.8	discard	embedding LR 0.6→0.4 — slight regression, 0.6 is fine
f81ea99	1.036207	49.8	keep	warmdown 0.3→0.4 — more cooldown at 972 steps, -0.002 ← BEST
b6b382e	1.036677	49.8	discard	warmdown 0.4→0.5 — slight regression, 0.4 is optimal
4e020d1	1.037923	49.8	discard	WD 0.2→0.3 — slight regression, 0.2 is optimal
080a5af	1.035887	49.8	keep	all-short window (S) — less attention compute, marginal improvement ← BEST
50c7cf3	1.036200	49.8	discard	softcap 12→10 — marginal regression, 12 is fine
e8fd7a1	1.042037	53.1	discard	depth 14, dim 384 — more VE layers inflate params, fewer steps
d02ba7a	1.041929	37.0	discard	VE every 4th layer — fewer params but VE quality too valuable
b0e6a36	1.040674	49.8	discard	NS steps 5→3 — worse orthogonalization, minimal throughput gain
ff9414d	1.036087	49.8	discard	LayerNorm Scaling 1/sqrt(depth) — resid_lambdas already compensate
5ca6619	1.052278	73.1	discard	ultra-deep 20×256 — 73.1M params (VE inflation), 615 steps
bb5ac6a	1.036061	49.8	discard	x0_lambdas 0.2→0.1 — flat, learnable scalars converge regardless
1a9a1e6	3.215849	46.4	crash	embedding tying — init/LR mismatch catastrophic
78b3de6	1.036888	49.8	discard	embedding LR 0.6→0.8 — slight regression
520e969	1.035006	49.8	keep	FINAL_LR_FRAC 0→0.05 — keep small LR during warmdown, -0.001 ← BEST
1905f9a	1.035910	49.8	discard	FINAL_LR_FRAC 0.05→0.10 — too high, 0.05 is optimal
87d2390	1.037855	49.8	discard	Adam β1 0.8→0.9 — regression, 0.8 still better
194ba8d	1.037079	49.8	discard	Muon momentum ramp 300→500 — regression, 300 is better
afdcce5	1.042629	31.5	discard	MQA (n_kv_head=1) — reduced KV/VE capacity hurts, 31.5M params
773554a	1.033199	49.8	keep	short window 512 (quarter context) — 1019 steps, -0.002 ← BEST
634421b	1.031697	49.8	keep	short window 256 (1/8 context) — 1057 steps, -0.002 ← BEST
e069637	1.032566	49.8	discard	short window 128 (1/16) — too small, regression
adf5a65	1.033036	49.8	discard	Muon LR 0.04→0.035 — slight regression, 0.04 still optimal
3a7d993	1.031411	49.8	keep	10S+2L window — 2 full-context layers at end, -0.000
45092b8	1.030600	49.8	keep	9S+3L window — 3 full-context layers at end, -0.001 ← BEST
aae1d7f	1.032258	49.8	discard	8S+4L window — too many long layers, regression
c5e9e05	1.032167	49.8	discard	mid+end long (L at 4 + last 2) — early global context less useful
0013646	1.031566	49.8	discard	unembedding LR 0.004→0.006 — slight regression
654c0ac	1.032152	49.8	discard	Muon β2 0.95→0.99 — regression, 0.95 optimal
db633f7	1.031330	49.8	discard	VE gate channels 32→64 — slight regression
d2beeeb	1.036461	49.8	discard	no softcap — logit regularization still needed
24da618	1.028859	39.7	keep	depth 10, dim 384 — 39.7M params, 1207 steps, -0.002 ← BEST
c20e1a7	1.033000	33.0	discard	depth 8, dim 384 — 1445 steps but quality too low per step
4a9f4ea	1.028694	39.7	keep	Muon LR 0.04→0.03 at depth=10, -0.000 ← BEST
5565116	1.030572	39.7	discard	Muon LR 0.03→0.02 — too low, regression
4228728	1.028509	39.7	keep	warmdown 0.4→0.5 at depth=10, -0.000
087f536	1.028247	39.7	keep	warmdown 0.5→0.6 at depth=10, -0.000 ← BEST
e2ce22a	1.028629	39.7	discard	warmdown 0.6→0.7 — slight regression, 0.6 optimal
08e7552	1.024074	60.8	keep	10×512, 60.8M params, 846 steps, -0.004 ← BEST
d558297	1.038020	85.9	discard	10×640 — too wide, 603 steps, regression
03919f0	1.023513	60.8	keep	Muon LR 0.03→0.04 at 10×512, -0.001 ← BEST
157d31c	1.024568	60.8	discard	Muon LR 0.04→0.05 — regression, 0.04 optimal
426920f	1.024073	60.8	discard	8S+2L window — regression, 3 long layers better
468a86a	1.023723	60.8	discard	WD 0.2→0.1 — slight regression, 0.2 still better
95efa5c	1.023762	60.8	discard	softcap 12→10 — marginal regression at 10×512
c074777	1.038485	96.0	discard	11×640 (wrong AR) — too big
690a6fb	1.024647	68.2	discard	11×512 — extra VE layer hurts, 10 optimal
6dab2ae	1.023739	60.8	discard	FINAL_LR_FRAC 0.05→0.02 — marginal regression
62f502b	1.023258	60.8	keep	short window 256→384 — marginally better, -0.000 ← BEST
266bc8f	1.023509	60.8	discard	short window 384→320 — regression, 384 optimal
37dd633	1.103885	61.5	discard	SwiGLU MLP — c_gate init bug, catastrophic regression
afab0fa	1.031438	61.5	discard	SwiGLU (correct init) — slower (770 steps), ReluSquared better
b3b7212	1.027332	44.0	discard	shared VE — per-layer VE diversity matters
f55f2fa	1.024561	60.8	discard	embedding LR 0.6→1.0 — regression
6cc892c	1.023518	60.8	discard	warmdown 0.6→0.5 at 10×512 — slight regression, 0.6 optimal
b7d7cad	1.024943	60.8	discard	VE gate full input (512→n_kv) — overfit, 32-channel better
791f375	1.024078	66.1	discard	MLP 4x→5x — throughput loss, regression
0cfeb75	1.024585	60.8	discard	remove VE gate — input-dependent gating is valuable
