Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,153,600
  scalars                 : 20
  total                   : 85,853,780
Estimated FLOPs per token: 3.873274e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 450s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011343 | lrm: 1.00 | dt: 24330ms | tok/sec: 10,774 | mfu: 0.4% | epoch: 1 | remaining: 450s    
step 00001 (0.0%) | loss: 9.197117 | lrm: 1.00 | dt: 248ms | tok/sec: 1,058,714 | mfu: 41.4% | epoch: 1 | remaining: 450s    
step 00002 (0.0%) | loss: 9.106882 | lrm: 1.00 | dt: 252ms | tok/sec: 1,038,935 | mfu: 40.7% | epoch: 1 | remaining: 450s    
step 00003 (0.0%) | loss: 8.747509 | lrm: 1.00 | dt: 252ms | tok/sec: 1,041,623 | mfu: 40.8% | epoch: 1 | remaining: 450s    
step 00004 (0.0%) | loss: 8.464473 | lrm: 1.00 | dt: 273ms | tok/sec: 958,754 | mfu: 37.5% | epoch: 1 | remaining: 450s    
step 00005 (0.0%) | loss: 8.198006 | lrm: 1.00 | dt: 258ms | tok/sec: 1,017,255 | mfu: 39.8% | epoch: 1 | remaining: 450s    
step 00006 (0.0%) | loss: 7.979966 | lrm: 1.00 | dt: 253ms | tok/sec: 1,036,919 | mfu: 40.6% | epoch: 1 | remaining: 450s    
step 00007 (0.0%) | loss: 7.780974 | lrm: 1.00 | dt: 254ms | tok/sec: 1,031,070 | mfu: 40.4% | epoch: 1 | remaining: 450s    
step 00008 (0.0%) | loss: 7.591804 | lrm: 1.00 | dt: 265ms | tok/sec: 987,564 | mfu: 38.7% | epoch: 1 | remaining: 450s    
step 00009 (0.0%) | loss: 7.402595 | lrm: 1.00 | dt: 260ms | tok/sec: 1,010,032 | mfu: 39.5% | epoch: 1 | remaining: 450s    
step 00010 (0.0%) | loss: 7.225076 | lrm: 1.00 | dt: 254ms | tok/sec: 1,033,947 | mfu: 40.5% | epoch: 1 | remaining: 450s    
step 00011 (0.0%) | loss: 7.054130 | lrm: 1.00 | dt: 259ms | tok/sec: 1,012,266 | mfu: 39.6% | epoch: 1 | remaining: 450s    
step 00012 (0.1%) | loss: 6.897404 | lrm: 1.00 | dt: 263ms | tok/sec: 995,100 | mfu: 39.0% | epoch: 1 | remaining: 449s    
step 00013 (0.1%) | loss: 6.757242 | lrm: 1.00 | dt: 259ms | tok/sec: 1,011,657 | mfu: 39.6% | epoch: 1 | remaining: 449s    
step 00031 (1.2%) | loss: 5.539940 | lrm: 1.00 | dt: 259ms | tok/sec: 1,010,353 | mfu: 39.5% | epoch: 1 | remaining: 445s    
step 00032 (1.2%) | loss: 5.507518 | lrm: 1.00 | dt: 263ms | tok/sec: 998,468 | mfu: 39.1% | epoch: 1 | remaining: 444s    
step 00033 (1.3%) | loss: 5.476561 | lrm: 1.00 | dt: 259ms | tok/sec: 1,010,517 | mfu: 39.6% | epoch: 1 | remaining: 444s    
step 00034 (1.3%) | loss: 5.446419 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,050 | mfu: 39.5% | epoch: 1 | remaining: 444s    
step 00035 (1.4%) | loss: 5.416738 | lrm: 1.00 | dt: 259ms | tok/sec: 1,013,173 | mfu: 39.7% | epoch: 1 | remaining: 444s    
step 00036 (1.4%) | loss: 5.387568 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,345 | mfu: 39.4% | epoch: 1 | remaining: 443s    
step 00037 (1.5%) | loss: 5.359646 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,040 | mfu: 39.5% | epoch: 1 | remaining: 443s    
step 00038 (1.6%) | loss: 5.331077 | lrm: 1.00 | dt: 259ms | tok/sec: 1,010,889 | mfu: 39.6% | epoch: 1 | remaining: 443s    
step 00039 (1.6%) | loss: 5.303272 | lrm: 1.00 | dt: 259ms | tok/sec: 1,012,329 | mfu: 39.6% | epoch: 1 | remaining: 442s    
step 00040 (1.7%) | loss: 5.279573 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,590 | mfu: 39.4% | epoch: 1 | remaining: 442s    
step 00041 (1.7%) | loss: 5.252616 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,474 | mfu: 39.3% | epoch: 1 | remaining: 442s    
step 00042 (1.8%) | loss: 5.228925 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,331 | mfu: 39.5% | epoch: 1 | remaining: 442s    
step 00043 (1.8%) | loss: 5.202524 | lrm: 1.00 | dt: 259ms | tok/sec: 1,013,324 | mfu: 39.7% | epoch: 1 | remaining: 441s    
step 00044 (1.9%) | loss: 5.178410 | lrm: 1.00 | dt: 260ms | tok/sec: 1,010,120 | mfu: 39.5% | epoch: 1 | remaining: 441s    
step 00045 (2.0%) | loss: 5.156454 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,802 | mfu: 39.5% | epoch: 1 | remaining: 441s    
step 00046 (2.0%) | loss: 5.132337 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,158 | mfu: 39.4% | epoch: 1 | remaining: 441s    
step 00047 (2.1%) | loss: 5.107146 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,752 | mfu: 39.5% | epoch: 1 | remaining: 440s    
step 00048 (2.1%) | loss: 5.082751 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,114 | mfu: 39.5% | epoch: 1 | remaining: 440s    
step 00049 (2.2%) | loss: 5.056543 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,343 | mfu: 39.3% | epoch: 1 | remaining: 440s    
step 00050 (2.3%) | loss: 5.036202 | lrm: 1.00 | dt: 259ms | tok/sec: 1,011,935 | mfu: 39.6% | epoch: 1 | remaining: 440s    
step 00051 (2.3%) | loss: 5.012702 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,596 | mfu: 39.4% | epoch: 1 | remaining: 439s    
step 00052 (2.4%) | loss: 4.991407 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,565 | mfu: 39.4% | epoch: 1 | remaining: 439s    
step 00053 (2.4%) | loss: 4.970432 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,644 | mfu: 39.4% | epoch: 1 | remaining: 439s    
step 00054 (2.5%) | loss: 4.945928 | lrm: 1.00 | dt: 259ms | tok/sec: 1,012,132 | mfu: 39.6% | epoch: 1 | remaining: 439s    
step 00055 (2.5%) | loss: 4.925638 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,960 | mfu: 39.5% | epoch: 1 | remaining: 438s    
step 00056 (2.6%) | loss: 4.906162 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,823 | mfu: 39.5% | epoch: 1 | remaining: 438s    
step 00057 (2.7%) | loss: 4.887140 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,337 | mfu: 39.3% | epoch: 1 | remaining: 438s    
step 00058 (2.7%) | loss: 4.867180 | lrm: 1.00 | dt: 259ms | tok/sec: 1,013,005 | mfu: 39.7% | epoch: 1 | remaining: 438s    
step 00059 (2.8%) | loss: 4.847941 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,154 | mfu: 39.4% | epoch: 1 | remaining: 437s    
step 00060 (2.8%) | loss: 4.830712 | lrm: 1.00 | dt: 259ms | tok/sec: 1,012,659 | mfu: 39.6% | epoch: 1 | remaining: 437s    
step 00061 (2.9%) | loss: 4.808761 | lrm: 1.00 | dt: 260ms | tok/sec: 1,006,314 | mfu: 39.4% | epoch: 1 | remaining: 437s    
step 00062 (2.9%) | loss: 4.789151 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,105 | mfu: 39.5% | epoch: 1 | remaining: 436s    
step 00063 (3.0%) | loss: 4.768730 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,214 | mfu: 39.3% | epoch: 1 | remaining: 436s    
step 00064 (3.1%) | loss: 4.747985 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,498 | mfu: 39.3% | epoch: 1 | remaining: 436s    
step 00065 (3.1%) | loss: 4.728955 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,540 | mfu: 39.5% | epoch: 1 | remaining: 436s    
step 00066 (3.2%) | loss: 4.711592 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,174 | mfu: 39.5% | epoch: 1 | remaining: 435s    
step 00067 (3.2%) | loss: 4.695056 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,944 | mfu: 39.3% | epoch: 1 | remaining: 435s    
step 00068 (3.3%) | loss: 4.673759 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,902 | mfu: 39.5% | epoch: 1 | remaining: 435s    
step 00069 (3.3%) | loss: 4.651415 | lrm: 1.00 | dt: 259ms | tok/sec: 1,010,875 | mfu: 39.6% | epoch: 1 | remaining: 435s    
step 00070 (3.4%) | loss: 4.629316 | lrm: 1.00 | dt: 259ms | tok/sec: 1,010,845 | mfu: 39.6% | epoch: 1 | remaining: 434s    
step 00071 (3.5%) | loss: 4.612548 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,170 | mfu: 39.4% | epoch: 1 | remaining: 434s    
step 00072 (3.5%) | loss: 4.594663 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,088 | mfu: 39.3% | epoch: 1 | remaining: 434s    
step 00073 (3.6%) | loss: 4.577424 | lrm: 1.00 | dt: 274ms | tok/sec: 957,794 | mfu: 37.5% | epoch: 1 | remaining: 434s    
step 00074 (3.6%) | loss: 4.563318 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,502 | mfu: 39.5% | epoch: 1 | remaining: 433s    
step 00075 (3.7%) | loss: 4.547799 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,631 | mfu: 39.4% | epoch: 1 | remaining: 433s    
step 00076 (3.8%) | loss: 4.529850 | lrm: 1.00 | dt: 263ms | tok/sec: 998,293 | mfu: 39.1% | epoch: 1 | remaining: 433s    
step 00077 (3.8%) | loss: 4.512280 | lrm: 1.00 | dt: 257ms | tok/sec: 1,021,213 | mfu: 40.0% | epoch: 1 | remaining: 433s    
step 00078 (3.9%) | loss: 4.496511 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,174 | mfu: 39.5% | epoch: 1 | remaining: 432s    
step 00079 (3.9%) | loss: 4.481182 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,870 | mfu: 39.5% | epoch: 1 | remaining: 432s    
step 00080 (4.0%) | loss: 4.459457 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,602 | mfu: 39.5% | epoch: 1 | remaining: 432s    
step 00081 (4.0%) | loss: 4.439956 | lrm: 1.00 | dt: 258ms | tok/sec: 1,015,121 | mfu: 39.7% | epoch: 1 | remaining: 432s    
step 00082 (4.1%) | loss: 4.419653 | lrm: 1.00 | dt: 259ms | tok/sec: 1,012,808 | mfu: 39.6% | epoch: 1 | remaining: 431s    
step 00083 (4.2%) | loss: 4.404352 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,738 | mfu: 39.3% | epoch: 1 | remaining: 431s    
step 00084 (4.2%) | loss: 4.390997 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,395 | mfu: 39.3% | epoch: 1 | remaining: 431s    
step 00085 (4.3%) | loss: 4.376787 | lrm: 1.00 | dt: 258ms | tok/sec: 1,015,703 | mfu: 39.8% | epoch: 1 | remaining: 430s    
step 00086 (4.3%) | loss: 4.360414 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,697 | mfu: 39.5% | epoch: 1 | remaining: 430s    
step 00087 (4.4%) | loss: 4.343457 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,612 | mfu: 39.5% | epoch: 1 | remaining: 430s    
step 00088 (4.4%) | loss: 4.322477 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,548 | mfu: 39.5% | epoch: 1 | remaining: 430s    
step 00089 (4.5%) | loss: 4.306642 | lrm: 1.00 | dt: 259ms | tok/sec: 1,010,515 | mfu: 39.6% | epoch: 1 | remaining: 429s    
step 00090 (4.6%) | loss: 4.289985 | lrm: 1.00 | dt: 258ms | tok/sec: 1,016,133 | mfu: 39.8% | epoch: 1 | remaining: 429s    
step 00091 (4.6%) | loss: 4.274951 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,459 | mfu: 39.4% | epoch: 1 | remaining: 429s    
step 00092 (4.7%) | loss: 4.257468 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,956 | mfu: 39.5% | epoch: 1 | remaining: 429s    
step 00093 (4.7%) | loss: 4.242022 | lrm: 1.00 | dt: 258ms | tok/sec: 1,014,565 | mfu: 39.7% | epoch: 1 | remaining: 428s    
step 00094 (4.8%) | loss: 4.223529 | lrm: 1.00 | dt: 259ms | tok/sec: 1,012,291 | mfu: 39.6% | epoch: 1 | remaining: 428s    
step 00095 (4.9%) | loss: 4.197661 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,673 | mfu: 39.4% | epoch: 1 | remaining: 428s    
step 00096 (4.9%) | loss: 4.179708 | lrm: 1.00 | dt: 257ms | tok/sec: 1,019,594 | mfu: 39.9% | epoch: 1 | remaining: 428s    
step 00097 (5.0%) | loss: 4.170294 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,939 | mfu: 39.5% | epoch: 1 | remaining: 427s    
step 00098 (5.0%) | loss: 4.158026 | lrm: 1.00 | dt: 259ms | tok/sec: 1,013,625 | mfu: 39.7% | epoch: 1 | remaining: 427s    
step 00099 (5.1%) | loss: 4.142479 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,669 | mfu: 39.5% | epoch: 1 | remaining: 427s    
step 00100 (5.1%) | loss: 4.127101 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,302 | mfu: 39.5% | epoch: 1 | remaining: 427s    
step 00101 (5.2%) | loss: 4.110660 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,679 | mfu: 39.5% | epoch: 1 | remaining: 426s    
step 00102 (5.3%) | loss: 4.094067 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,719 | mfu: 39.5% | epoch: 1 | remaining: 426s    
step 00103 (5.3%) | loss: 4.081429 | lrm: 1.00 | dt: 260ms | tok/sec: 1,006,811 | mfu: 39.4% | epoch: 1 | remaining: 426s    
step 00104 (5.4%) | loss: 4.067199 | lrm: 1.00 | dt: 259ms | tok/sec: 1,013,016 | mfu: 39.7% | epoch: 1 | remaining: 426s    
step 00105 (5.4%) | loss: 4.051786 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,501 | mfu: 39.5% | epoch: 1 | remaining: 425s    
step 00106 (5.5%) | loss: 4.037463 | lrm: 1.00 | dt: 259ms | tok/sec: 1,010,291 | mfu: 39.5% | epoch: 1 | remaining: 425s    
step 00107 (5.5%) | loss: 4.025021 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,476 | mfu: 39.5% | epoch: 1 | remaining: 425s    
step 00108 (5.6%) | loss: 4.013767 | lrm: 1.00 | dt: 260ms | tok/sec: 1,006,359 | mfu: 39.4% | epoch: 1 | remaining: 425s    
step 00109 (5.7%) | loss: 4.000852 | lrm: 1.00 | dt: 259ms | tok/sec: 1,011,691 | mfu: 39.6% | epoch: 1 | remaining: 424s    
step 00110 (5.7%) | loss: 3.990623 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,812 | mfu: 39.4% | epoch: 1 | remaining: 424s    
step 00111 (5.8%) | loss: 3.977450 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,674 | mfu: 39.5% | epoch: 1 | remaining: 424s    
step 00112 (5.8%) | loss: 3.962868 | lrm: 1.00 | dt: 259ms | tok/sec: 1,013,986 | mfu: 39.7% | epoch: 1 | remaining: 423s    
step 00113 (5.9%) | loss: 3.956148 | lrm: 1.00 | dt: 258ms | tok/sec: 1,014,172 | mfu: 39.7% | epoch: 1 | remaining: 423s    
step 00114 (5.9%) | loss: 3.944646 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,744 | mfu: 39.5% | epoch: 1 | remaining: 423s    
step 00115 (6.0%) | loss: 3.933803 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,697 | mfu: 39.3% | epoch: 1 | remaining: 423s    
step 00116 (6.1%) | loss: 3.920329 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,372 | mfu: 39.2% | epoch: 1 | remaining: 422s    
step 00117 (6.1%) | loss: 3.907654 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,715 | mfu: 39.4% | epoch: 1 | remaining: 422s    
step 00118 (6.2%) | loss: 3.898683 | lrm: 1.00 | dt: 258ms | tok/sec: 1,016,963 | mfu: 39.8% | epoch: 1 | remaining: 422s    
step 00119 (6.2%) | loss: 3.891035 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,205 | mfu: 39.2% | epoch: 1 | remaining: 422s    
step 00120 (6.3%) | loss: 3.876434 | lrm: 1.00 | dt: 258ms | tok/sec: 1,014,271 | mfu: 39.7% | epoch: 1 | remaining: 421s    
step 00121 (6.4%) | loss: 3.867880 | lrm: 1.00 | dt: 260ms | tok/sec: 1,006,684 | mfu: 39.4% | epoch: 1 | remaining: 421s    
step 00122 (6.4%) | loss: 3.858130 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,389 | mfu: 39.3% | epoch: 1 | remaining: 421s    
step 00123 (6.5%) | loss: 3.846459 | lrm: 1.00 | dt: 262ms | tok/sec: 1,002,310 | mfu: 39.2% | epoch: 1 | remaining: 421s    
step 00124 (6.5%) | loss: 3.840462 | lrm: 1.00 | dt: 258ms | tok/sec: 1,014,206 | mfu: 39.7% | epoch: 1 | remaining: 420s    
step 00125 (6.6%) | loss: 3.833475 | lrm: 1.00 | dt: 259ms | tok/sec: 1,012,318 | mfu: 39.6% | epoch: 1 | remaining: 420s    
step 00126 (6.6%) | loss: 3.822429 | lrm: 1.00 | dt: 262ms | tok/sec: 1,002,007 | mfu: 39.2% | epoch: 1 | remaining: 420s    
step 00127 (6.7%) | loss: 3.813739 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,600 | mfu: 39.4% | epoch: 1 | remaining: 420s    
step 00128 (6.8%) | loss: 3.800660 | lrm: 1.00 | dt: 258ms | tok/sec: 1,015,110 | mfu: 39.7% | epoch: 1 | remaining: 419s    
step 00129 (6.8%) | loss: 3.791016 | lrm: 1.00 | dt: 258ms | tok/sec: 1,015,025 | mfu: 39.7% | epoch: 1 | remaining: 419s    
step 00130 (6.9%) | loss: 3.781828 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,775 | mfu: 39.3% | epoch: 1 | remaining: 419s    
step 00131 (6.9%) | loss: 3.768304 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,685 | mfu: 39.5% | epoch: 1 | remaining: 419s    
step 00132 (7.0%) | loss: 3.761910 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,371 | mfu: 39.5% | epoch: 1 | remaining: 418s    
step 00133 (7.0%) | loss: 3.753768 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,845 | mfu: 39.5% | epoch: 1 | remaining: 418s    
step 00134 (7.1%) | loss: 3.749513 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,036 | mfu: 39.3% | epoch: 1 | remaining: 418s    
step 00135 (7.2%) | loss: 3.743668 | lrm: 1.00 | dt: 259ms | tok/sec: 1,010,865 | mfu: 39.6% | epoch: 1 | remaining: 418s    
step 00136 (7.2%) | loss: 3.738187 | lrm: 1.00 | dt: 259ms | tok/sec: 1,011,070 | mfu: 39.6% | epoch: 1 | remaining: 417s    
step 00137 (7.3%) | loss: 3.733310 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,062 | mfu: 39.5% | epoch: 1 | remaining: 417s    
step 00138 (7.3%) | loss: 3.726996 | lrm: 1.00 | dt: 260ms | tok/sec: 1,006,337 | mfu: 39.4% | epoch: 1 | remaining: 417s    
step 00139 (7.4%) | loss: 3.721625 | lrm: 1.00 | dt: 258ms | tok/sec: 1,016,839 | mfu: 39.8% | epoch: 1 | remaining: 416s    
step 00140 (7.5%) | loss: 3.712715 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,583 | mfu: 39.5% | epoch: 1 | remaining: 416s    
step 00141 (7.5%) | loss: 3.704551 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,578 | mfu: 39.4% | epoch: 1 | remaining: 416s    
step 00142 (7.6%) | loss: 3.694461 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,204 | mfu: 39.3% | epoch: 1 | remaining: 416s    
step 00143 (7.6%) | loss: 3.693688 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,561 | mfu: 39.5% | epoch: 1 | remaining: 415s    
step 00144 (7.7%) | loss: 3.678702 | lrm: 1.00 | dt: 258ms | tok/sec: 1,014,686 | mfu: 39.7% | epoch: 1 | remaining: 415s    
step 00145 (7.7%) | loss: 3.670949 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,655 | mfu: 39.4% | epoch: 1 | remaining: 415s    
step 00146 (7.8%) | loss: 3.670761 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,602 | mfu: 39.3% | epoch: 1 | remaining: 415s    
step 00147 (7.9%) | loss: 3.658529 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,504 | mfu: 39.5% | epoch: 1 | remaining: 414s    
step 00148 (7.9%) | loss: 3.654620 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,138 | mfu: 39.5% | epoch: 1 | remaining: 414s    
step 00149 (8.0%) | loss: 3.646018 | lrm: 1.00 | dt: 261ms | tok/sec: 1,002,929 | mfu: 39.3% | epoch: 1 | remaining: 414s    
step 00150 (8.0%) | loss: 3.640818 | lrm: 1.00 | dt: 259ms | tok/sec: 1,013,382 | mfu: 39.7% | epoch: 1 | remaining: 414s    
step 00151 (8.1%) | loss: 3.637816 | lrm: 1.00 | dt: 259ms | tok/sec: 1,013,478 | mfu: 39.7% | epoch: 1 | remaining: 413s    
step 00152 (8.1%) | loss: 3.631661 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,588 | mfu: 39.5% | epoch: 1 | remaining: 413s    
